Gene	Rep1	Rep2	Rep3	Rep4	Rep5
Igf1	1.1272	0.1249	0.0435	0	0.0597
Kat6a	13.1836	15.3517	10.7505	10.9328	10.1556
Neurog1	0	0	0.0458	0.0414	0.0379
Hesx1	7.2239	0.6656	1.1845	0.6969	0.4683
Otx1	1.0595	0.424	0.251	0.4126	0.3098
Lefty2	57.0296	11.9725	5.1875	3.0287	4.8705
Onecut1	0.1432	0.0608	0.0176	0.0755	0.0169
Hand1	0.1483	0.2585	0.1228	0.344	0.3067
Jarid2	72.2709	132.061	109.213	95.1246	59.5975
Wnt10a	0.0379	0.1516	0.0574	0.053	0.1329
Id1	8.5546	16.2217	3.5115	3.7475	4.5342
Axin2	23.686	5.0032	2.388	1.9554	2.5289
Meis1	0.3404	0.7963	0.1073	0.2493	0.0722
Myc	2.531	40.6638	20.6166	20.455	10.1652
Esx1	1.056	1.1238	0.5558	0.7558	1.2877
Id2	6.9648	8.3531	5.2201	5.5425	6.9143
Axin1	16.897	18.7354	21.4714	19.9217	15.9472
Acvr1	10.0326	2.8074	3.8209	4.6979	4.1808
Wnt6	0.3956	1.0356	0.4141	0.5826	1.0853
Pik3r1	5.7767	4.441	3.831	4.6773	2.7472
Mapk13	7.3883	4.391	6.1422	7.4331	15.4663
Wnt7b	0.4088	0.4036	0.1853	0.3205	1.1107
Wnt7a	0.0688	0.0986	0.9939	0	0.0614
Fgf2	0.3388	0.5525	0	0	0
Dvl1	8.5045	8.2322	12.2892	12.228	15.0432
Lhx5	0.0737	0	0.0264	0	0
Raf1	41.6239	49.8557	44.6757	41.9924	40.67
Pcgf1	16.6689	11.9267	10.775	11.6856	16.2249
Pik3cb	6.5356	9.0094	5.774	4.8058	6.0711
Jak2	4.3133	1.2885	1.1159	1.2601	3.182
Dlx5	0	0	0.1168	0.1652	0
Dusp9	13.4817	18.6111	28.345	33.5044	46.93
Smad4	23.9591	29.771	27.1866	28.4115	25.8011
Smarcad1	31.1055	58.518	35.983	31.0885	17.1986
Ctnnb1	155.666	215.304	184.755	172.096	159.654
Wnt1	0	0	0	0.0276	0.0292
Zic3	19.7956	65.2005	43.3952	27.2768	18.14
Pcgf5	6.4406	6.3467	4.1306	5.8246	9.3399
Wnt8b	0.0374	0	0.0208	0	0.0774
Bmpr2	5.2995	2.2733	2.4999	2.0651	3.5202
Pik3r3	8.3379	4.6961	2.8836	3.2955	2.1428
Akt1	21.4926	10.9485	15.3672	15.9327	26.903
Rif1	97.8394	125.281	105.657	97.2815	73.7217
Acvr1c	0	0.0157	0	0.025	0
Wnt5a	1.2798	2.1178	0.698	0.8408	0.1219
Wnt2b	0.0352	0.1017	0.0972	0.0973	0.1597
Smad2	17.2327	24.7467	16.9872	15.6593	14.7569
Nodal	30.4626	19.0751	8.714	7.161	15.4634
Id3	4.183	29.4552	40.9384	36.27	13.6967
Inhbc	0.0337	1.3313	0.9228	0.3286	0.0722
Wnt4	0.0297	0.1807	0.2774	0.3669	1.2199
Gsk3b	26.562	22.9406	19.8125	22.227	21.9421
Wnt10b	0.1173	0	0.0631	0.0867	0.1608
Apc2	0.0888	0.2105	0.4392	0.4019	0.7033
Bmi1	9.9603	9.0275	8.6384	7.3258	5.8705
Pik3ca	8.5306	6.5	8.1759	6.0507	7.7302
Igf1r	3.8785	3.8709	4.647	5.4665	6.8382
Smad1	6.6829	5.7576	5.4723	5.2677	6.8322
Wnt9b	0	0	0.0153	0	0.0294
Acvr2a	2.772	2.2472	2.8407	2.689	3.7705
Fgfr3	0.0465	0.1464	0.1525	0.6185	0.4824
Wnt9a	0.2557	0.0482	0.1264	0.329	2.0136
Fzd8	1.4293	0.8839	1.0691	1.3334	1.6439
Wnt3	0.1124	0	0.1372	0.3284	0.2583
Bmpr1a	15.8377	16.178	15.7196	16.0577	15.9736
Fzd1	1.5239	0.3299	0.4083	0.8996	0.8625
Smad3	6.6793	4.7627	5.8353	6.0626	8.4839
Lefty1	15.0399	9.399	12.6385	9.5583	46.0578
Smad5	7.3827	10.4999	9.4774	9.6141	8.666
Pik3cd	4.6726	4.9379	8.5056	6.2597	4.8146
Map2k2	87.4556	112.331	122.187	101.702	91.9984
Fzd3	0.3557	0.3412	0.7887	1.0261	1.094
Wnt5b	1.4136	0.7321	2.1581	1.7831	0.6181
Fzd4	0.8435	1.3841	0.8782	0.8021	0.9408
Mapk11	1.15	2.2941	3.3403	3.719	5.2607
Akt3	2.4524	1.7942	2.6176	3.893	8.3637
Myf5	0	0	0	0.037	0.0339
Hoxb1	0	0	0.1108	0	0.0631
Bmpr1b	0.259	0.1267	0.0637	0.1984	0.1565
Pax6	0.2628	2.0771	0.7862	0.9461	2.1705
Apc	18.5462	16.351	13.065	15.9982	16.9278
Pcgf3	11.1964	14.0464	14.1855	13.4352	14.3176
Fzd6	1.2945	1.5788	1.7379	1.7072	3.2651
Wnt8a	0.0385	0.3482	1.2714	0.9347	0.7626
Fgfr1	21.4833	22.1894	25.4963	29.9355	33.8931
Fgfr2	2.3755	4.8791	11.2186	12.0142	25.576
Mapk3	32.4334	30.3144	56.432	59.0447	70.8452
Mapk14	27.2808	37.4927	32.5601	31.2283	29.8534
Fzd2	3.2335	6.3399	19.3107	22.0833	29.7226
Kras	29.4169	31.7001	37.4889	38.3457	64.5511
Pcgf6	33.8526	61.4197	64.8706	52.4703	43.8921
Tcf7	28.7313	19.9858	34.9241	34.5507	36.1096
Tcf3	53.7089	68.1761	85.1163	77.8179	63.8016
Acvr2b	5.7611	8.306	7.689	11.2612	10.225
Wnt16	0	0.0673	0.1564	0.1735	1.141
Mapk12	1.0071	1.6008	6.1278	9.8048	28.7667
Pik3r2	11.9777	14.0486	19.6056	16.2594	18.2441
Nras	28.6566	37.9493	45.1102	45.3114	39.571
Zfhx3	2.6267	4.7174	5.391	5.6794	7.6518
Hras	155.94	229.707	340.7	312.205	274.176
Lif	3.843	2.1312	3.1501	3.8521	5.5703
Skil	11.2509	24.0046	39.8624	33.8247	35.2046
Fzd7	11.428	26.622	41.2139	42.2798	39.4937
